,name,code,per,roe,per_sort,roe_sort,sort
1960,대동기어,008830,13.45,3.83,209,520,729
2002,심텍,222800,11.76,25.12,98,631,729
1285,조광피혁,004700,20.06,6.66,511,221,732
583,흥국에프엔비,189980,19.24,6.12,465,269,734
1339,TS인베스트먼트,246690,10.76,20.55,50,689,739
16,경농,002100,20.64,6.69,525,217,742
2367,위즈코프,038620,20.66,6.71,526,216,742
1190,하이로닉,149980,23.03,7.72,603,139,742
232,컴투스,078340,25.5,8.49,657,86,743
1334,SBS콘텐츠허브,046140,17.26,5.1,386,359,745
21,기아,000270,17.0,5.05,378,367,745
1629,현대모비스,012330,15.89,4.66,330,417,747
793,씨큐브,101240,20.4,6.56,521,227,748
908,DSR제강,069730,13.32,3.67,205,543,748
1071,바이넥스,053030,131.44,3.84,232,517,749
20,극동유화,014530,15.63,4.54,320,429,749
117,대유,290380,23.38,7.71,614,141,755
1142,유에스티,263770,29.95,9.89,745,11,756
1882,삼양식품,003230,11.32,21.46,85,671,756
553,테고사이언스,191420,132.71,3.83,235,522,757
2090,켐트로스,220260,124.48,3.32,181,577,758
566,피엔티,137400,14.56,33.56,265,494,759
2043,우리기술투자,041190,14.3,30.42,256,503,759
1200,휴온스,243070,12.07,25.66,134,627,761
708,한신기계공업,011700,15.28,4.24,309,454,763
1670,디케이앤디,263020,21.47,6.81,554,212,766
475,아래스,050320,160.21,4.9,374,394,768
665,쌍용씨앤이,003410,24.42,7.92,641,127,768
255,푸드웰,005670,18.15,5.23,420,352,772
1877,미원상사,002840,11.72,21.07,95,678,773
978,우리들휴브레인,118000,11.15,20.12,76,697,773
1376,마니커에프앤지,195500,26.84,8.48,686,87,773
1806,한국비엔씨,256840,150.6,4.41,335,439,774
695,하이트진로,000080,26.18,8.23,673,102,775
1657,대동금속,020400,15.82,4.32,327,448,775
1158,케이사인,192250,23.43,7.41,615,166,781
1582,삼천리,004690,10.33,2.49,32,753,785
968,써니전자,004770,30.03,9.92,778,10,788
1692,비에이치,090460,28.08,8.69,714,78,792
994,태경케미컬,006890,21.22,6.37,548,245,793
1161,켐온,217600,150.44,4.18,334,459,793
116,대봉엘에스,078140,21.14,6.31,543,252,795
1470,인피니트헬스케어,071200,25.12,7.6,650,148,798
119,대주산업,003310,22.11,6.59,574,225,799
468,슈프리마,236200,22.67,6.68,587,219,806
546,코위버,056360,17.58,4.66,391,416,807
2258,YTN,040300,16.16,4.18,347,460,807
310,교보증권,030610,3.74,9.35,770,38,808
1734,에이치엘사이언스,239610,12.34,22.19,146,662,808
1256,삼성공조,006660,10.87,2.46,54,756,810
204,유신,054930,14.67,3.69,274,539,813
629,동서,026960,28.92,8.61,729,84,813
1433,에코마케팅,230360,18.35,42.16,429,387,816
1755,위더스제약,330350,101.47,2.43,59,758,817
267,한솔인티큐브,070590,23.26,6.84,607,211,818
2270,다나와,119860,13.0,25.11,186,632,818
1866,대호에이엘,069460,102.91,2.43,60,759,819
1588,아세아시멘트,183190,11.9,2.94,109,710,819
124,디에이피,066900,18.35,4.88,428,396,824
786,시큐브,131090,26.97,7.79,689,135,824
1730,에스에이티,060540,17.39,4.49,388,437,825
1514,한독크린텍,256150,12.85,22.76,169,656,825
913,KSS해운,044450,18.28,4.78,423,404,827
76,포스코,005490,14.8,3.61,285,546,831
707,한신공영,004960,1.83,18.96,10,822,832
2223,하나금융지주,086790,3.93,8.96,775,65,840
523,제일바이오,052670,114.37,2.85,122,719,841
2285,레드로버,060300,31.5,9.16,793,50,843
2195,엘에스일렉트릭,010120,22.22,6.14,580,266,846
1350,나이스정보통신,036800,21.1,5.74,541,306,847
1722,아시아경제,127710,14.38,3.17,258,589,847
1356,노바텍,285490,19.27,44.1,467,381,848
2154,광명전기,017040,18.64,4.67,437,415,852
2300,비비씨,318410,10.06,18.04,15,838,853
651,삼일제약,000520,100.83,2.13,58,796,854
1523,흥구석유,024060,22.6,6.12,584,271,855
492,오션브릿지,241790,12.73,20.23,162,693,855
2009,아이디스,143160,26.04,7.14,668,188,856
1990,빅솔론,093190,15.86,3.8,329,527,856
372,한국주철관공업,000970,17.2,4.04,382,476,858
411,노바렉스,194700,13.95,24.25,226,639,865
1838,DB하이텍,000990,13.67,23.07,217,650,867
926,기신정기,092440,17.89,4.06,399,472,871
785,시공테크,020710,19.17,4.74,462,409,871
2048,월덱스,101160,13.32,21.96,206,665,871
1261,삼화전기,009470,32.66,9.04,812,61,873
1159,케이씨에스,115500,36.42,9.93,864,9,873
114,농우바이오,054050,17.82,4.03,396,478,874
403,고영,098460,157.37,3.74,340,535,875
1743,연우,115960,20.93,5.31,533,344,877
1496,크린앤사이언스,045520,14.5,28.02,262,615,877
38,삼성엔지니어링,028050,10.29,17.32,28,855,883
2338,에스아이리소스,065420,35.19,9.42,851,32,883
431,리더스코스메틱,016100,2.92,46.92,507,377,884
1157,컴퍼니케이,307930,10.72,17.98,47,841,888
2115,휴림로봇,090710,3.67,76.89,768,122,890
528,지니뮤직,043610,23.35,6.02,613,279,892
730,넥스트아이,137940,2.98,43.56,510,383,893
914,LG화학,051910,125.83,2.93,183,711,894
1797,파인테크닉스,106240,34.98,9.22,849,46,895
2102,하림지주,003380,15.27,3.18,308,588,896
328,롯데제과,280360,15.97,3.42,331,565,896
1029,경남스틸,039240,15.83,3.4,328,569,897
1154,제룡전기,033100,24.1,6.14,633,264,897
779,솔브레인홀딩스,036830,0.44,154.56,0,897,897
259,피제이전자,006140,19.69,4.58,476,424,900
307,SK렌터카,068400,19.28,4.5,469,433,902
1684,미래테크놀로지,213090,19.19,4.39,463,441,904
269,한컴위드,054920,23.5,5.99,619,288,907
1924,한국카본,017960,10.3,16.55,29,880,909
1605,진양폴리우레탄,010640,24.0,6.03,632,278,910
1123,엠투아이,347890,13.88,20.58,223,688,911
2171,드림텍,192650,34.41,8.79,838,76,914
2022,에스티아이,039440,26.26,6.42,678,239,917
829,웹젠,069080,14.17,21.83,251,666,917
131,링크제니시스,219420,119.07,2.15,126,793,919
851,제이앤티씨,204270,11.05,17.43,69,851,920
940,디아이동일,001530,18.73,4.0,440,481,921
1280,우성사료,006980,16.09,3.28,344,579,923
2259,골프존,215000,11.36,18.02,86,840,926
916,LS,006260,18.12,3.94,416,511,927
340,세이브존I&C,067830,12.2,2.2,140,788,928
1388,비엠티,086670,23.19,5.58,605,323,928
2143,HMM,011200,36.32,8.92,863,69,932
1978,맘스터치,220630,15.81,29.6,326,610,936
1189,하나머티리얼즈,166090,14.75,22.82,283,654,937
999,하나제약,293480,28.03,6.58,713,226,939
715,KCC건설,021320,4.92,9.68,917,23,940
2101,피앤씨테크,237750,17.57,3.58,390,552,942
1879,보령제약,003850,36.02,8.62,859,83,942
1863,대한제분,001130,13.47,2.7,210,734,944
619,녹십자홀딩스,005250,12.03,19.74,132,814,946
64,일진다이아,081000,130.57,2.88,231,715,946
1264,서흥,008490,11.13,16.73,74,874,948
2297,브이원텍,251630,28.65,6.63,725,224,949
1018,GST,083450,10.14,15.06,19,931,950
2204,율촌화학,008730,25.26,5.85,655,299,954
723,고려시멘트,198440,21.8,4.92,562,392,954
1220,DGB금융지주,139130,3.46,6.93,760,203,963
2097,파트론,091700,27.74,6.2,705,259,964
2392,지어소프트,051160,26.67,55.83,684,283,967
1965,대정화금,120240,30.22,7.15,780,187,967
2038,오리엔탈정공,014940,3.82,64.06,773,194,967
2207,인팩,023810,18.06,3.55,414,555,969
716,KCI,036670,10.62,15.09,42,929,971
2290,매커스,093520,10.17,14.57,21,950,971
1968,동성화인텍,033500,14.95,20.79,291,682,973
1625,한전산업,130660,11.37,16.2,87,888,975
1620,한라,014790,2.19,34.98,487,491,978
1432,에이피티씨,089970,19.84,31.34,478,500,978
2168,동일고무벨트,163560,18.83,3.7,444,536,980
202,유니온커뮤니티,203450,28.58,6.23,724,257,981
2332,알로이스,297570,12.82,19.11,166,820,986
1185,피에스케이홀딩스,031980,2.82,38.01,502,485,987
1414,씨이랩,189330,165.12,27.84,376,617,993
1068,민앤지,214180,11.62,15.9,93,902,995
342,신송홀딩스,006880,17.68,3.04,393,603,996
2291,메디아나,041920,12.58,17.95,156,842,998
1293,쿠쿠홈시스,284740,11.77,15.94,99,899,998
1627,한화솔루션,009830,25.19,5.3,652,348,1000
1747,와이오엠,066430,11.03,15.03,67,933,1000
1344,경동제약,011040,24.76,5.1,643,360,1003
409,넥스틴,348210,32.57,62.17,809,195,1004
1307,한국쉘석유,002960,15.99,21.44,333,672,1005
646,삼성에스디에스,018260,31.15,6.71,791,215,1006
1419,안랩,053800,41.1,8.8,932,74,1006
1751,우주일렉트로,065680,30.44,6.64,784,223,1007
884,프로텍,053610,26.36,5.54,680,328,1008
1178,포스코 ICT,022100,135.84,2.36,239,769,1008
643,범양건영,002410,10.99,14.51,57,952,1009
872,태웅로직스,124560,11.79,15.65,102,908,1010
1030,광진윈텍,090150,21.31,4.13,549,464,1013
49,신한지주,055550,4.75,8.2,913,106,1019
2320,신일제약,012790,34.5,7.23,841,178,1019
2227,한성기업,003680,22.75,4.52,589,431,1020
1231,SK케미칼,285130,20.37,30.48,518,502,1020
1720,씨젠,096530,10.09,125.91,16,1006,1022
407,남화토건,091590,23.75,4.79,622,401,1023
1059,마이크로프랜드,147760,11.11,14.48,73,953,1026
